Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity 
2025-11-08 11:56:57.562692,4,4,0,0
2025-11-08 11:56:58.476611,4,4,0,0
2025-11-08 11:56:59.263651,4,2,0,0
2025-11-08 11:57:00.091319,4,2,0,0
2025-11-08 11:57:00.776424,4,2,0,0
2025-11-08 11:57:01.784781,4,2,0,0
2025-11-08 11:57:02.575097,4,2,0,0
2025-11-08 11:57:03.284325,4,2,0,0
2025-11-08 11:57:04.111812,4,2,0,0
2025-11-08 11:57:05.176381,4,2,0,0
2025-11-08 11:57:05.920776,4,2,0,0
2025-11-08 11:57:06.577966,4,2,0,0
2025-11-08 11:57:07.205881,4,2,0,0
2025-11-08 11:57:08.040463,3,2,0,0
2025-11-08 11:57:08.715093,3,2,0,0
2025-11-08 11:57:09.346707,3,2,0,0
2025-11-08 11:57:09.925251,3,2,0,0
2025-11-08 11:57:10.806298,4,2,0,0
2025-11-08 11:57:11.723226,4,2,0,0
2025-11-08 11:57:12.453212,4,2,0,0
2025-11-08 11:57:13.292517,4,2,0,0
2025-11-08 11:57:15.496671,4,2,0,0
2025-11-08 11:57:16.262125,4,2,0,0
2025-11-08 11:57:17.090635,3,2,0,0
2025-11-08 11:57:17.868850,3,2,0,0
2025-11-08 11:57:18.611977,3,2,0,0
2025-11-08 11:57:19.496189,3,2,0,0
2025-11-08 11:57:20.284353,3,2,0,0
2025-11-08 11:57:21.138662,3,2,0,0
2025-11-08 11:57:21.829984,3,2,0,0
2025-11-08 11:57:22.730863,3,2,0,0
2025-11-08 11:57:23.575705,3,2,0,0
2025-11-08 11:57:24.306760,3,2,0,0
2025-11-08 11:57:25.063373,3,2,0,0
2025-11-08 11:57:26.152152,3,2,0,0
2025-11-08 11:57:26.920260,3,2,0,0
2025-11-08 11:57:27.608235,3,2,0,0
2025-11-08 11:57:28.315980,3,2,0,0
2025-11-08 11:57:29.255472,3,2,0,0
2025-11-08 11:57:30.049638,3,2,0,0
2025-11-08 11:57:30.800588,3,2,0,0
2025-11-08 11:57:31.601023,3,2,0,0
2025-11-08 11:57:32.429778,4,2,0,0
2025-11-08 11:57:33.307188,4,2,0,0
2025-11-08 11:57:33.968474,4,2,0,0
2025-11-08 11:57:34.736640,4,2,0,0
2025-11-08 11:57:35.621766,4,3,0,0
2025-11-08 11:57:36.542501,4,3,0,0
2025-11-08 11:57:37.259211,3,2,0,0
2025-11-08 11:57:38.016377,5,5,0,0
2025-11-08 11:57:38.975788,5,5,0,0
2025-11-08 11:57:39.637112,5,5,0,0
2025-11-08 11:57:40.419322,5,5,0,0
2025-11-08 11:57:41.240218,5,5,0,0
2025-11-08 11:57:42.119266,5,5,0,0
2025-11-08 11:57:42.901374,3,2,0,0
2025-11-08 11:57:43.799995,3,2,0,0
2025-11-08 11:57:44.604418,3,2,0,0
2025-11-08 11:57:45.370759,3,2,0,0
2025-11-08 11:57:45.936535,3,2,0,0
2025-11-08 11:57:46.671537,3,2,0,0
2025-11-08 11:57:47.409904,3,2,0,0
2025-11-08 11:57:48.366618,2,0,0,0
2025-11-08 11:57:48.981922,2,0,0,0
2025-11-08 11:57:49.819887,3,2,0,0
2025-11-08 11:57:50.614721,3,2,0,0
2025-11-08 11:57:51.256582,3,2,0,0
2025-11-08 11:57:51.938277,4,4,0,0
2025-11-08 11:57:52.813340,4,4,0,0
2025-11-08 11:57:53.560402,4,4,0,0
2025-11-08 11:57:54.198331,3,2,0,0
2025-11-08 11:57:55.045779,3,2,0,0
2025-11-08 11:57:55.905598,3,2,0,0
2025-11-08 11:57:56.707991,3,2,0,0
2025-11-08 11:57:57.523170,3,2,0,0
2025-11-08 11:57:58.398211,0,0,0,0
2025-11-08 11:57:58.919339,0,0,0,0
2025-11-08 11:57:59.419622,0,0,0,0
2025-11-08 11:57:59.972144,0,0,0,0
2025-11-08 11:58:00.467154,0,0,0,0
2025-11-08 11:58:00.944820,0,0,0,0
2025-11-08 11:58:01.561201,0,0,0,0
2025-11-08 11:58:02.098196,0,0,0,0
2025-11-08 11:58:02.624462,0,0,0,0
2025-11-08 11:58:03.125339,0,0,0,0
2025-11-08 11:58:03.551071,0,0,0,0
2025-11-08 11:58:04.068445,0,0,0,0
2025-11-08 11:58:04.585512,0,0,0,0
2025-11-08 11:58:05.300839,0,0,0,0
2025-11-08 11:58:05.837541,0,0,0,0
2025-11-08 11:58:06.345396,0,0,0,0
2025-11-08 11:58:06.768730,0,0,0,0
2025-11-08 11:58:07.173295,0,0,0,0
2025-11-08 11:58:07.577233,0,0,0,0
2025-11-08 11:58:08.131992,0,0,0,0
2025-11-08 11:58:08.560087,0,0,0,0
2025-11-08 11:58:09.024739,0,0,0,0
2025-11-08 11:58:09.447620,0,0,0,0
2025-11-08 11:58:09.853490,0,0,0,0
2025-11-08 11:58:10.255714,0,0,0,0
2025-11-08 11:58:10.681027,0,0,0,0
2025-11-08 11:58:11.276526,0,0,0,0
2025-11-08 11:58:11.704944,0,0,0,0
2025-11-08 11:58:12.104745,0,0,0,0
2025-11-08 11:58:12.524496,0,0,0,0
2025-11-08 11:58:12.928749,0,0,0,0
2025-11-08 11:58:13.325264,0,0,0,0
2025-11-08 11:58:13.748198,0,0,0,0
2025-11-08 11:58:14.369117,0,0,0,0
2025-11-08 11:58:14.853346,0,0,0,0
2025-11-08 11:58:15.308590,0,0,0,0
2025-11-08 11:58:15.752977,0,0,0,0
2025-11-08 11:58:16.182262,0,0,0,0
2025-11-08 11:58:16.602236,0,0,0,0
2025-11-08 11:58:17.097277,0,0,0,0
2025-11-08 11:58:17.629772,0,0,0,0
2025-11-08 11:58:18.133560,0,0,0,0
2025-11-08 11:58:18.605915,0,0,0,0
2025-11-08 11:58:19.028711,0,0,0,0
2025-11-08 11:58:19.451610,0,0,0,0
2025-11-08 11:58:19.952052,0,0,0,0
2025-11-08 11:58:20.576068,0,0,0,0
2025-11-08 11:58:21.083462,0,0,0,0
2025-11-08 11:58:21.495134,0,0,0,0
2025-11-08 11:58:21.898735,0,0,0,0
2025-11-08 11:58:22.326227,0,0,0,0
2025-11-08 11:58:22.801609,0,0,0,0
2025-11-08 11:58:23.268065,0,0,0,0
2025-11-08 11:58:23.733025,0,0,0,0
2025-11-08 11:58:24.266234,0,0,0,0
2025-11-08 11:58:24.639288,0,0,0,0
2025-11-08 11:58:25.037069,0,0,0,0
2025-11-08 11:58:25.446666,0,0,0,0
2025-11-08 11:58:25.947312,0,0,0,0
2025-11-08 11:58:26.386957,0,0,0,0
2025-11-08 11:58:26.804009,0,0,0,0
2025-11-08 11:58:27.343382,0,0,0,0
2025-11-08 11:58:27.726021,0,0,0,0
2025-11-08 11:58:28.139424,0,0,0,0
2025-11-08 11:58:28.622284,0,0,0,0
2025-11-08 11:58:29.128068,0,0,0,0
2025-11-08 11:58:29.558558,0,0,0,0
2025-11-08 11:58:29.986914,0,0,0,0
2025-11-08 11:58:30.578470,0,0,0,0
2025-11-08 11:58:30.997523,0,0,0,0
2025-11-08 11:58:31.457774,0,0,0,0
2025-11-08 11:58:31.972856,0,0,0,0
2025-11-08 11:58:32.482965,0,0,0,0
2025-11-08 11:58:32.915838,0,0,0,0
2025-11-08 11:58:33.345326,0,0,0,0
2025-11-08 11:58:33.887390,0,0,0,0
2025-11-08 11:58:34.340210,0,0,0,0
2025-11-08 11:58:34.846702,0,0,0,0
2025-11-08 11:58:35.331135,0,0,0,0
2025-11-08 11:58:35.733858,0,0,0,0
2025-11-08 11:58:36.135375,0,0,0,0
2025-11-08 11:58:36.539782,0,0,0,0
2025-11-08 11:58:37.062971,0,0,0,0
2025-11-08 11:58:37.580609,0,0,0,0
2025-11-08 11:58:38.017585,0,0,0,0
2025-11-08 11:58:38.427873,0,0,0,0
2025-11-08 11:58:38.892212,0,0,0,0
2025-11-08 11:58:39.315104,0,0,0,0
2025-11-08 11:58:39.865734,0,0,0,0
2025-11-08 11:58:40.366444,0,0,0,0
2025-11-08 11:58:40.907404,0,0,0,0
2025-11-08 11:58:41.358724,0,0,0,0
2025-11-08 11:58:41.734910,0,0,0,0
2025-11-08 11:58:42.130702,0,0,0,0
2025-11-08 11:58:42.644637,0,0,0,0
2025-11-08 11:58:43.100200,0,0,0,0
2025-11-08 11:58:43.567852,0,0,0,0
2025-11-08 11:58:44.055434,0,0,0,0
2025-11-08 11:58:44.453253,0,0,0,0
2025-11-08 11:58:44.847712,0,0,0,0
2025-11-08 11:58:45.273822,0,0,0,0
2025-11-08 11:58:45.871799,0,0,0,0
2025-11-08 11:58:46.408424,0,0,0,0
2025-11-08 11:58:46.927640,0,0,0,0
2025-11-08 11:58:47.506464,0,0,0,0
2025-11-08 11:58:48.013349,0,0,0,0
2025-11-08 11:58:48.529534,0,0,0,0
2025-11-08 11:58:49.105377,0,0,0,0
2025-11-08 11:58:49.599619,0,0,0,0
2025-11-08 11:58:50.037142,0,0,0,0
2025-11-08 11:58:50.556113,0,0,0,0
2025-11-08 11:58:50.994665,0,0,0,0
2025-11-08 11:58:51.415212,0,0,0,0
2025-11-08 11:58:51.846354,0,0,0,0
2025-11-08 11:58:52.465959,0,0,0,0
2025-11-08 11:58:52.910686,0,0,0,0
2025-11-08 11:58:53.364181,0,0,0,0
2025-11-08 11:58:53.840891,0,0,0,0
2025-11-08 11:58:54.247184,0,0,0,0
2025-11-08 11:58:54.671526,0,0,0,0
2025-11-08 11:58:55.177467,0,0,0,0
2025-11-08 11:58:55.806651,0,0,0,0
2025-11-08 11:58:56.298850,0,0,0,0
2025-11-08 11:58:56.745425,0,0,0,0
2025-11-08 11:58:57.170231,0,0,0,0
2025-11-08 11:58:57.592365,0,0,0,0
2025-11-08 11:58:58.045971,0,0,0,0
2025-11-08 11:58:58.664101,0,0,0,0
2025-11-08 11:58:59.152512,0,0,0,0
2025-11-08 11:58:59.638445,0,0,0,0
2025-11-08 11:59:00.083465,0,0,0,0
2025-11-08 11:59:00.501045,0,0,0,0
2025-11-08 11:59:00.927975,0,0,0,0
2025-11-08 11:59:01.385167,0,0,0,0
2025-11-08 11:59:01.955445,0,0,0,0
2025-11-08 11:59:02.429152,0,0,0,0
2025-11-08 11:59:02.825165,0,0,0,0
2025-11-08 11:59:03.209521,0,0,0,0
2025-11-08 11:59:03.572793,0,0,0,0
2025-11-08 11:59:03.999189,0,0,0,0
2025-11-08 11:59:04.521859,0,0,0,0
2025-11-08 11:59:05.133091,0,0,0,0
2025-11-08 11:59:05.568751,0,0,0,0
2025-11-08 11:59:06.066451,0,0,0,0
2025-11-08 11:59:06.584802,0,0,0,0
2025-11-08 11:59:07.023271,0,0,0,0
2025-11-08 11:59:07.485403,0,0,0,0
2025-11-08 11:59:07.949605,0,0,0,0
2025-11-08 11:59:08.478618,0,0,0,0
2025-11-08 11:59:08.885968,0,0,0,0
2025-11-08 11:59:09.324377,0,0,0,0
2025-11-08 11:59:09.706862,0,0,0,0
2025-11-08 11:59:10.156949,0,0,0,0
2025-11-08 11:59:10.662038,0,0,0,0
2025-11-08 11:59:11.231039,0,0,0,0
2025-11-08 11:59:11.749446,0,0,0,0
2025-11-08 11:59:12.217147,0,0,0,0
2025-11-08 11:59:12.645505,0,0,0,0
2025-11-08 11:59:13.013289,0,0,0,0
2025-11-08 11:59:13.487623,0,0,0,0
2025-11-08 11:59:13.910438,0,0,0,0
2025-11-08 11:59:14.516883,0,0,0,0
2025-11-08 11:59:14.923963,0,0,0,0
2025-11-08 11:59:15.335251,0,0,0,0
2025-11-08 11:59:15.727273,0,0,0,0
2025-11-08 11:59:16.171309,0,0,0,0
2025-11-08 11:59:16.679622,0,0,0,0
2025-11-08 11:59:17.245066,0,0,0,0
2025-11-08 11:59:17.736661,0,0,0,0
2025-11-08 11:59:18.200996,0,0,0,0
2025-11-08 11:59:18.640201,0,0,0,0
2025-11-08 11:59:19.115087,0,0,0,0
2025-11-08 11:59:19.624019,0,0,0,0
2025-11-08 11:59:20.086806,0,0,0,0
2025-11-08 11:59:20.593364,0,0,0,0
2025-11-08 11:59:21.129278,0,0,0,0
2025-11-08 11:59:21.559619,0,0,0,0
2025-11-08 11:59:22.021744,0,0,0,0
2025-11-08 11:59:22.522551,0,0,0,0
2025-11-08 11:59:22.998420,0,0,0,0
2025-11-08 11:59:23.413414,0,0,0,0
2025-11-08 11:59:23.861359,0,0,0,0
2025-11-08 11:59:24.395593,0,0,0,0
2025-11-08 11:59:24.864663,0,0,0,0
2025-11-08 11:59:25.368976,0,0,0,0
2025-11-08 11:59:25.847327,0,0,0,0
2025-11-08 11:59:26.359005,0,0,0,0
2025-11-08 11:59:26.760887,0,0,0,0
2025-11-08 11:59:27.203748,0,0,0,0
2025-11-08 11:59:27.767666,0,0,0,0
2025-11-08 11:59:28.312547,0,0,0,0
2025-11-08 11:59:28.708540,0,0,0,0
2025-11-08 11:59:29.208456,0,0,0,0
2025-11-08 11:59:29.621162,0,0,0,0
2025-11-08 11:59:30.047679,0,0,0,0
2025-11-08 11:59:30.495461,0,0,0,0
2025-11-08 11:59:31.107900,0,0,0,0
2025-11-08 11:59:31.622753,0,0,0,0
2025-11-08 11:59:32.125611,0,0,0,0
2025-11-08 11:59:32.560518,0,0,0,0
2025-11-08 11:59:32.949355,0,0,0,0
2025-11-08 11:59:33.394179,0,0,0,0
2025-11-08 11:59:33.853645,0,0,0,0
2025-11-08 11:59:34.482064,0,0,0,0
2025-11-08 11:59:34.986722,0,0,0,0
2025-11-08 11:59:35.468883,0,0,0,0
2025-11-08 11:59:35.885303,0,0,0,0
2025-11-08 11:59:36.324768,0,0,0,0
2025-11-08 11:59:36.759225,0,0,0,0
2025-11-08 11:59:37.240859,0,0,0,0
2025-11-08 11:59:37.855047,0,0,0,0
2025-11-08 11:59:38.270341,0,0,0,0
2025-11-08 11:59:38.682623,0,0,0,0
2025-11-08 11:59:39.055702,0,0,0,0
2025-11-08 11:59:39.443562,0,0,0,0
2025-11-08 11:59:39.872976,0,0,0,0
2025-11-08 11:59:40.278931,0,0,0,0
2025-11-08 11:59:40.867101,0,0,0,0
2025-11-08 11:59:41.220237,0,0,0,0
2025-11-08 11:59:41.613027,0,0,0,0
2025-11-08 11:59:42.006910,0,0,0,0
2025-11-08 11:59:42.400167,0,0,0,0
2025-11-08 11:59:42.915268,0,0,0,0
2025-11-08 11:59:43.413272,0,0,0,0
